Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C52895,BSS138,onsemi,SOT-23,,N-Channel 50V 0.22A 0.36W Surface Mount SOT-23,yes,10,10,10,0.0680,0.68,https://www.lcsc.com/product-detail/C52895.html
2,C20625731,ABM8-272-T3,ABRACON,SMD3225-4P,,±30ppm 10pF ±30ppm SMD3225-4P Crystals RoHS,yes,5,5,5,0.2947,1.47,https://www.lcsc.com/product-detail/C20625731.html
3,C42411118,RP2350A,Raspberry Pi,QFN-60-EP(7x7),,QFN-60-EP(7x7) Microcontrollers RoHS,yes,1,1,1,1.1886,3.57,https://www.lcsc.com/product-detail/C42411118.html
4,C2441427,W25Q128JVPIM TR,Winbond,WSON-8-EP(5x6),,FLASH - NOR Memory IC 128Mbit SPI 133MHz WSON-8-EP(5x6),yes,1,1,1,3.0644,9.19,https://www.lcsc.com/product-detail/C2441427.html
5,C2877864,TLV75512PDBVR,TI,SOT-23-5,,Linear Voltage Regulator IC Positive Fixed 1 Output 500mA SOT-23-5,yes,5,5,5,0.1722,0.86,https://www.lcsc.com/product-detail/C2877864.html
6,C780769,AP63203WU-7,DIODES,TSOT-23-6,,1.1MHz Step-down type Fixed 2A 3.3V 3.8V~32V TSOT-23-6 Voltage Regulators - DC DC Switching Regulators RoHS,yes,3,1,1,0.5463,1.64,https://www.lcsc.com/product-detail/C780769.html
7,C2678152,ICE40UP5K-SG48I,Lattice,QFN-48-EP(7x7),,5280 660 QFN-48-EP(7x7) FPGAs (Field Programmable Gate Array) RoHS,yes,1,1,1,8.0688,24.21,https://www.lcsc.com/product-detail/C2678152.html
8,C138002,RC0402FR-0733RL,YAGEO,0402,,62.5mW 33Ω 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C138002.html
9,C2909343,FRC0402F27R0TS,FOJAN,0402,,27Ω ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0007,0.07,https://www.lcsc.com/product-detail/C2909343.html
10,C106235,RC0402FR-071KL,YAGEO,0402,,1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C106235.html
11,C60491,RC0402FR-07100KL,YAGEO,0402,,100kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C60491.html
12,C60490,RC0402FR-0710KL,YAGEO,0402,,62.5mW 10kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C60490.html
13,C106232,RC0402FR-07100RL,YAGEO,0402,,100Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C106232.html
14,C105872,RC0402FR-075K1L,YAGEO,0402,,5.1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C105872.html
15,C131394,CC0402KRX7R9BB104,YAGEO,0402,,100nF ±10% 50V Ceramic Capacitor X7R 0402,yes,100,100,100,0.0037,0.37,https://www.lcsc.com/product-detail/C131394.html
16,C42411119,AOTA-B201610S3R3-101-T,ABRACON,0806,,2.1A 3.3uH 115mΩ 2.4A Molded Inductor 0806 Fixed Inductors RoHS,yes,5,5,5,0.2843,1.42,https://www.lcsc.com/product-detail/C42411119.html
17,C6808101,ANR4030T3R9M,APV,"SMD,4x4mm",,"2.3A 3.9uH ±20% 3.3A Magnetic Shielded Inductor SMD,4x4mm Fixed Inductors RoHS",yes,10,10,10,0.0418,0.42,https://www.lcsc.com/product-detail/C6808101.html
18,C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",yes,20,20,20,0.0740,1.48,https://www.lcsc.com/product-detail/C2765186.html
19,C41380229,BSMD0603C-1200T,BHFUSE,0603,,2A Fuse Surface Mount 0603,yes,10,10,10,0.0419,0.42,https://www.lcsc.com/product-detail/C41380229.html
20,C20608784,YLED0402G,YONGYUTAI,0402,,Emerald Green 525nm LED Indication - Discrete 2.4V~3.1V 0402,yes,50,50,50,0.0133,0.67,https://www.lcsc.com/product-detail/C20608784.html
21,C965840,XL-1615RGBC-RF,XINGLIGHT,"SMD-4P,1.6x1.5mm",,"120° SMD-4P,1.6x1.5mm LED Indication - Discrete RoHS",yes,50,50,50,0.0194,0.97,https://www.lcsc.com/product-detail/C965840.html
22,C179430,"PMEG4010ER,115",Nexperia,SOD-123W,,Diode 40V 1A Surface Mount SOD-123W,yes,5,5,5,0.2910,1.46,https://www.lcsc.com/product-detail/C179430.html
23,C106997,CC0402JRNPO9BN150,YAGEO,0402,,15pF ±5% 50V Ceramic Capacitor NP0 0402,yes,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C106997.html
24,C602037,CL21A226MAYNNNE,Samsung Electro-Mechanics,0805,,22uF ±20% 25V Ceramic Capacitor X5R 0805,yes,10,10,10,0.0546,0.55,https://www.lcsc.com/product-detail/C602037.html
25,C14442,CL05B102KB5NNNC,Samsung Electro-Mechanics,0402,,1nF ±10% 50V Ceramic Capacitor X7R 0402,yes,100,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/C14442.html
